file_id	case_id
bf7e3880-e49d-412a-99bb-0f17456bd692	TCGA-CQ-6224
4dafb507-f3cc-4f37-9c69-7ba0f3df1ee8	TCGA-CR-6487
524edfcc-daef-49b0-88a7-28832e4adf10	TCGA-QK-A64Z
6911eac4-95c9-46c4-ad67-59c29bd85aa0	TCGA-CV-7446
409790bc-30ef-4f2f-9025-52d0c1864a04	TCGA-CQ-6228
1f715b37-49a7-4b68-8787-10c28dc71039	TCGA-CR-6491
4f0f7051-4e3d-4749-b50a-c85f7dabe7c0	TCGA-UF-A7JC
22c1ef89-458e-4753-b55b-140c0a3993bc	TCGA-CR-7388
7eb3d86e-0bd6-4f3d-b4fe-c4702b46ac5e	TCGA-CV-A465
5dbdee96-ea4e-4a0c-8ebe-55a99be125d7	TCGA-CV-6956
116d6aa9-7b48-493d-88b0-d620d0fb1da4	TCGA-HD-7754
650cd049-8ee7-4191-be99-e8c6740cbf80	TCGA-CR-7395
6435d2fd-7a46-423a-a3ad-7ab469234196	TCGA-CV-A6K1
dfe94936-7310-488f-87bf-22e6a7b3078f	TCGA-CR-7368
13b83e88-3035-4c10-bc05-a6bdf2f04fd0	TCGA-CN-4725
c9243cb6-96c1-4f80-bd43-cd62004ccd7f	TCGA-F7-A622
509ac1c1-9c94-4b12-a1a2-599bc2769435	TCGA-MZ-A6I9
1f34ef35-95b0-4470-a17a-d7ccc0fb97e6	TCGA-D6-6517
7c415019-de42-47b3-b2d9-31190418e857	TCGA-DQ-5625
06c46190-b2e2-4c28-9dd8-ec9df9b3faac	TCGA-IQ-7630
d8251860-ff31-4639-9dcf-88b4d44d18ce	TCGA-CV-7095
d1633c45-ff9d-4fdb-bf27-28fedf653eb1	TCGA-CV-7438
d64c5014-7755-4439-a871-5e3648473446	TCGA-CQ-6225
35fd23d8-0dba-4a74-8c5a-cbebfc7e460e	TCGA-CR-5250
a2b8d498-f21a-4718-8661-1cd9535ac2e5	TCGA-CR-6472
e0cab7b0-d7c8-4f47-950f-ede1ed50e797	TCGA-CN-4739
1c9c9ad2-892d-4b36-82e9-51d465e9b68a	TCGA-F7-A50I
0508b025-15b5-4012-b1b1-530d329eeec9	TCGA-CR-7401
c04eb652-77ed-4acc-8303-38d623e3cd28	TCGA-DQ-7588
34738236-8107-4968-a889-5a3628d82ebc	TCGA-CQ-7068
2a82e572-e911-4103-b01a-8a5fc8dcc8a6	TCGA-IQ-A61E
98d3da9f-bc4a-4ff0-ac57-fe62cf8f6c41	TCGA-BB-4224
32d7d3ba-a8b4-413d-9cc7-d907daf8b407	TCGA-CV-5439
ba27831d-d20b-41e4-8dde-d69ea443450a	TCGA-CV-5431
0671f907-5a87-4d69-b18b-353e123b04a0	TCGA-IQ-A61O
a6d8ea07-b43b-491b-8acd-09f57c4b3a3b	TCGA-HL-7533
51d9078e-4e0f-4f3e-979a-4f08695757b4	TCGA-CV-6436
74d18812-6caa-4398-8d31-e1cde3ac75d3	TCGA-CV-7254
a5d4f069-8642-4137-a4d0-a43d470221f2	TCGA-DQ-7596
bccc2a89-933c-4a71-9912-d58c8181c7bb	TCGA-UF-A7JV
7779c5b1-c3cb-4595-a0cf-8e78085091e3	TCGA-CN-4731
4eda7674-c779-437a-9a7d-63952954d0ac	TCGA-CV-6948
d5fc6c36-385e-469e-b3e8-9e210be4d44d	TCGA-CV-7101
2d21aabe-6a63-4271-945f-5854bf890b41	TCGA-BA-6868
616b2f3b-b80f-4935-b9ce-9e7fa0739f6d	TCGA-CV-7428
ef3eab99-6232-4f1c-83aa-cc8dcd425c9a	TCGA-BA-5152
bd237b46-b737-4651-9e7a-612e04632a6f	TCGA-UP-A6WW
e0ba453e-0cbf-4cf5-9cab-d889f899bb7d	TCGA-CQ-A4C9
e4e6b6d0-e0d8-4477-bdcc-57daf4468e92	TCGA-CQ-5325
f3e35797-d314-450d-b3cf-5b000dd1691d	TCGA-P3-A6T0
749e19d2-4962-4546-b236-5232fee78446	TCGA-CN-4733
7862a1bf-90d3-473c-9cc6-b4e44019ad2d	TCGA-CQ-5332
1daf9114-e83d-44e3-9455-02550b75202d	TCGA-BB-7864
8c4a7f36-f25b-449a-87e9-e413a35cbca6	TCGA-CN-6996
b78ac464-2435-4d29-b287-61383ee4aecb	TCGA-CV-7427
2a569ad0-faee-4431-b9f1-a7cef32d1a3d	TCGA-TN-A7HI
b668d085-9a13-4d78-a973-eba35b289c64	TCGA-CR-7376
46c49b3e-0cf1-4c97-b6aa-205043d0d34b	TCGA-CX-7085
7a4f5a82-54fb-42b5-ab40-1cefda8dad3e	TCGA-P3-A6SX
a0e5df28-f34e-4fc8-8100-ea276c5956e4	TCGA-D6-6516
88d9d603-1444-4774-addd-71412a3805bf	TCGA-QK-A6VB
b8061cff-d788-40e9-85ed-7b0dd5c666d1	TCGA-CN-A6V7
f5f6cba5-feca-4a5f-93a6-78f95fcb7ff8	TCGA-CN-6012
5ce6d778-09e1-460e-a3ed-5b20b586d838	TCGA-KU-A6H7
efbbaf9c-6f7c-4a67-a741-d47133001cd3	TCGA-CR-7377
cdf82afd-bf8c-4928-ad79-4e4ec703dea5	TCGA-CV-7415
b4b4e9e2-b661-4968-a347-4d6086cd0cbf	TCGA-CV-A6JD
72fd70e4-4c48-42a4-b77d-39a524fe517d	TCGA-F7-A50J
0621ca2f-3e91-4b15-8989-1bd6ec48131f	TCGA-CR-7402
976173d5-f519-4c08-ab2a-e05bf5923dd0	TCGA-CR-7365
382c3d30-4a8f-4173-8b28-38795909bd34	TCGA-D6-A4Z9
919ad647-d821-45d7-ad7c-bc4078f6dc83	TCGA-CV-6951
ce6dbffc-c526-4f4a-90de-ba402b2b63ef	TCGA-CQ-7072
340f6bf2-e251-4e6e-beb0-0d835e292df4	TCGA-D6-A6EN
12356fb5-98f2-461e-b590-6bde94eac461	TCGA-CQ-6223
1b15bd5b-b25e-45e4-9dc1-c4aed2dac1a5	TCGA-CV-7236
fd434c3e-120b-4e22-bd02-25e97f36fb1e	TCGA-CV-7255
3bb93076-d3ae-457e-862d-9a84c03b2cd5	TCGA-BA-6869
b6f1ca49-344f-4408-be54-a0c35aed9ff2	TCGA-P3-A6T3
998d7c15-6ab5-4006-a1c8-183484bcfb2b	TCGA-BA-A6DA
b956b050-74b2-4bef-987b-3d29a0ef750b	TCGA-CR-7364
060bb9a8-70e4-48bf-949a-9a4da4fe321f	TCGA-UF-A71B
1d209e9f-bec9-4d4d-9805-837ebd62c103	TCGA-CV-6955
3a7dfe12-5054-4679-a560-6c8bb9230614	TCGA-CV-A6JZ
e90a09a9-b44c-448b-9287-bb502da3cca7	TCGA-UF-A71D
5d866859-e5b6-455c-b907-d24df2d2b387	TCGA-CN-A63V
4dc4c39e-b7aa-4575-90b7-e82d0d722761	TCGA-CQ-5327
24cb500c-dfbe-4c83-91c1-7d665497137e	TCGA-CR-6467
6ffe0480-a95b-433c-b7fa-a760360f7ae4	TCGA-CV-A45U
c10a8f09-e01d-4321-a0d8-a909418fb8e3	TCGA-HD-A6I0
45b179a3-d0c6-48d2-ac36-9701f390c2ab	TCGA-CN-A6V3
867a2368-8027-45d1-b7b2-5a6f5523640f	TCGA-CR-7374
20dad6c3-80f7-46c9-90a8-313f8eb1b7cb	TCGA-CQ-5334
edb9c52d-c5a3-4183-82cd-3e6ce07abbd8	TCGA-CV-7261
577f45d0-c021-46e9-95c1-9795af717c18	TCGA-BA-4076
ad828d58-e410-4829-a078-6d995831ecfd	TCGA-BB-A5HY
0163117a-2f64-4f00-b22e-d82254aaae0a	TCGA-BA-A6DL
2ff763c7-5655-415f-8d88-2700c8be16c5	TCGA-T3-A92N
2df35b3b-edea-4aa2-9cb9-9c3699e8ca16	TCGA-RS-A6TO
26186ce9-f0d1-44b4-80b5-729dd6bcd23e	TCGA-CV-6954
a06c91ef-ed4b-42d4-9edf-1df4722fba4f	TCGA-P3-A5QF
5da23d36-1b6e-4508-aa01-59a2c275e26e	TCGA-CV-7418
86675e21-b06e-4496-b1d8-e30c4d1b0668	TCGA-CV-7414
9b573cf3-f4a1-4ff4-8bb3-10be48301a88	TCGA-CR-6488
75a491de-b673-4731-bea1-149a74ec8c87	TCGA-CV-5436
996fc9a8-2cdd-4f23-a716-218aaa69df94	TCGA-BB-A5HU
6adeb3ef-4d4d-4e3f-945e-c4e39fad122d	TCGA-HD-8635
e0368b19-1254-4058-a216-9108a0f4d7c9	TCGA-CN-A49B
10b096a4-78d2-4f80-9792-306cf65c54be	TCGA-BA-5556
21aca47f-d70d-4c5b-857d-36cea1169726	TCGA-CR-6470
4b33a2f5-280a-40d1-be86-4075ac09aaf8	TCGA-CN-6019
6d8fb2a2-14a2-42bf-8a94-7c0c90cfe84c	TCGA-CV-A6JM
ef041670-f4a9-4463-9a23-fb5a409d53dd	TCGA-CN-5374
09503611-2e57-46e8-912c-0542e50c6ac8	TCGA-BA-4075
722617cc-6c69-40e7-bddb-d2a22a7aa6d5	TCGA-D6-A6EQ
8fae59bb-c8bd-4125-8c8e-7908eebb5609	TCGA-CV-6936
01392dce-a8df-4803-aa61-d14956d801a4	TCGA-CV-7102
