ANLN_ENSG00000011426.11	ENO1_ENSG00000074800.16	CDKN3_ENSG00000100526.20	PGK1_ENSG00000102144.15	CA9_ENSG00000107159.13	TPI1_ENSG00000111669.15	VEGFA_ENSG00000112715.25	SDC1_ENSG00000115884.11	SLC2A1_ENSG00000117394.24	P4HA1_ENSG00000122884.12	GNAI1_ENSG00000127955.17	KRT17_ENSG00000128422.17	LDHA_ENSG00000134333.14	ALDOA_ENSG00000149925.22	SLC16A1_ENSG00000155380.12	DCBLD1_ENSG00000164465.19	ANGPTL4_ENSG00000167772.12	FAM83B_ENSG00000168143.9	BNC1_ENSG00000169594.13	PGAM1_ENSG00000171314.9	FOSL1_ENSG00000175592.9	COL4A6_ENSG00000197565.16	KCTD11_ENSG00000213859.7	file_id
10.3248	1338.9058	8.5756	372.4672	10.1216	813.7253	24.3338	999.848	282.3057	20.6049	4.3437	28845.8251	541.8707	7.8197	75.7391	7.2966	135.6648	5.4186	22.8928	82.3247	155.9776	3.8214	105.6901	aed9e1a3-8037-40a6-9ced-64e414467718
90.2398	1216.0722	102.1375	371.7316	9.3182	1247.3594	32.007	968.8217	315.5546	100.0261	3.7351	12388.7691	306.9146	9.4436	78.3007	22.0406	26.9031	17.3977	45.5493	205.5339	209.0846	12.807	45.5029	bdc3e015-b191-47d1-b419-ba19f694215e
19.0917	839.259	15.6913	349.639	6.0161	552.2664	17.7756	615.6879	157.5081	10.3111	8.0921	18056.3619	571.6526	10.4947	55.4943	16.3382	27.5325	47.2288	37.1798	95.3627	82.9557	1.8726	57.0671	0295ea9f-3c48-400e-8004-05ca911f460d
72.3941	3351.8152	17.9368	698.7229	309.8807	1295.4038	37.9587	808.6264	2723.5589	146.5238	13.5495	11326.1942	812.3318	12.026	269.7598	25.481	484.3876	57.4181	177.9688	186.4147	262.6939	33.2001	247.6955	e4a520c9-91a8-46ec-89a5-1707d24c125d
38.3902	1281.0033	15.4674	332.8453	15.3058	567.5594	10.8848	1157.9755	510.1976	24.762	10.1782	13233.573	630.7946	8.2706	92.0257	37.439	22.6467	47.0243	93.7662	70.5154	85.3406	17.9243	73.7588	9826930c-b7bd-49ba-b824-1f940e207f4b
145.3171	1523.5793	42.3973	353.7333	5.4333	584.9271	28.6917	1294.2488	118.6549	41.2643	10.9822	7064.3456	1067.4328	7.505	143.6815	65.7291	30.6218	53.2465	106.4917	111.6029	227.1201	0.8165	35.4778	34b7ac84-d020-4841-98d5-fc86aa7798de
0.2575	284.1732	0.3154	81.2122	0.4601	154.1249	3.6491	33.6647	8.8375	5.7515	0.484	111.1417	70.1717	4.9148	1.0733	0.9011	0.7929	2.0608	0.2482	22.5182	1.6536	0.8907	9.3686	b6a38e2a-0044-4d7c-a223-1bf169d4e088
69.699	1859.2399	37.5581	632.9611	5.3139	1555.974	17.0279	1489.0762	347.386	45.7678	5.1181	3865.3646	357.468	5.5292	78.898	22.8108	13.2819	32.2942	103.8788	88.473	221.5365	2.1636	61.9763	530aeb2b-2b87-4894-9853-8120649ccbf8
124.3417	1402.2711	43.8017	625.5629	27.7944	1120.1592	52.4078	971.7969	527.4697	151.7313	8.2813	2747.7251	828.4176	20.8796	97.4199	19.6766	52.9344	19.0397	56.6829	190.0612	473.0732	40.7527	156.8578	5bd3d1ea-675e-4e41-96b3-d2da8a644879
132.7584	1718.2034	149.2328	1498.501	94.3626	1249.783	36.5095	696.8208	411.3714	143.5673	4.1071	2989.1748	1857.6534	3.175	165.9594	46.8226	47.9377	27.4776	99.1081	218.6383	77.6739	12.6839	22.9264	524b91bd-e61c-475a-9217-3ccd76688a0d
43.3074	1249.5656	10.8128	333.819	21.0032	514.8243	9.5584	970.5166	720.0176	73.3623	10.1926	6131.1223	516.7411	6.6232	91.2401	22.19	15.8222	44.0563	57.0289	80.4225	54.0462	20.9706	69.0813	c5976308-8c60-4f51-8e86-3b586f137f23
114.4564	1745.0787	44.9284	577.2979	90.3504	1167.6832	24.7132	2497.3487	1410.6375	88.066	15.9943	11483.471	508.9098	2.6036	226.962	18.5825	78.8793	73.9354	199.6592	176.1159	294.2417	28.6509	80.6732	15b120ca-b99c-43f9-b836-529583c50fe9
64.8434	1579.5435	14.4773	281.1774	0.988	676.2404	49.1635	1516.8103	552.3844	27.2429	10.3684	8496.9456	648.4433	10.7878	98.122	10.6993	41.1804	35.8854	77.4027	195.4847	415.3583	4.8517	50.2069	2448d8d4-198b-42b9-a822-f4fb071de2e7
38.6072	1540.2473	23.3639	414.9225	37.9696	874.3746	17.3053	1354.8336	518.2002	46.4438	6.9681	14698.988	801.8476	5.5894	119.0586	16.0052	30.3773	32.3541	85.5859	111.2689	111.1089	10.4107	81.9917	ec391e89-3ffa-4e8f-ba46-7ea7a95dcd7b
60.8019	1671.0568	39.2484	365.7664	118.1811	862.2778	25.0725	1266.9726	447.3442	40.2606	8.6628	11111.1563	842.2591	16.3755	120.1009	27.6626	51.9442	40.7671	131.3624	138.7879	497.6794	7.7445	63.6772	a162c257-2c4e-479a-bdff-1361ffc1a7fd
92.4975	1795.4271	50.5144	647.7313	103.0695	1401.0243	56.5985	2000.7143	754.7668	126.9397	8.9061	14312.9447	404.102	13.7627	112.8941	21.1205	63.2194	28.6342	102.6771	140.2215	81.485	12.0471	77.4092	53a868c3-12fe-429b-910a-04321ff14d9a
5.3488	1176.4795	29.5274	112.0858	205.8784	865.4848	5.0292	827.9469	115.826	10.6399	1.4494	28993.9272	209.9124	0.9209	23.0564	2.6285	75.1304	4.4	14.6764	27.8795	247.1451	1.8835	19.8549	c778256b-62cc-4642-886f-f2950526f374
43.3585	2028.0645	29.9946	657.5276	186.937	1707.8628	18.8784	1570.2257	1034.8168	120.7815	10.0801	3104.6196	977.4352	25.7839	91.6205	27.5512	108.5262	44.5521	112.0344	201.789	85.9625	7.3781	324.3933	f8eaf87f-8ab3-4d10-954e-eb4e4a4e0b82
44.0517	1161.7032	39.596	368.4125	13.569	1046.2896	12.4507	532.8502	96.841	47.8596	3.1158	845.8417	294.3601	5.7597	29.5732	6.4408	28.1001	11.8011	14.0727	66.2772	10.0426	0.3344	29.2512	1a225cd0-4aff-4a21-a38f-4c7219da6daf
