case_id,CD4_ENSG00000010610.10,TBX21_ENSG00000073861.3,LAG3_ENSG00000089692.9,ICAM1_ENSG00000090339.9,IFNG_ENSG00000111537.5,STAT1_ENSG00000115415.20,GNLY_ENSG00000115523.17,IL18RAP_ENSG00000115607.9,CD274_ENSG00000120217.14,CD80_ENSG00000121594.12,IRF1_ENSG00000125347.14,CXCL9_ENSG00000138755.6,CTLA4_ENSG00000163599.17,ICOS_ENSG00000163600.13,CXCL10_ENSG00000169245.6,HLA-DQA1_ENSG00000196735.13,PDCD1LG2_ENSG00000197646.8,HLA-DRB5_ENSG00000198502.6,CD247_ENSG00000198821.11,HLA-DOA_ENSG00000204252.14,HLA-DMA_ENSG00000204257.15,HLA-DRA_ENSG00000204287.14,HLA-DPB1_ENSG00000223865.11,HLA-DPA1_ENSG00000231389.7,HLA-DQA2_ENSG00000237541.4,HLA-DMB_ENSG00000242574.9,CCL5_ENSG00000271503.6,file_id
TCGA-CN-4731,11.8522,0.1604,4.1133,45.1262,0.0497,72.3464,19.7588,0.2636,1.1127,0.4118,21.8913,6.753,0.5902,0.4116,11.1076,72.3698,2.9182,545.9728,1.3568,68.095,120.3856,3461.242,146.3315,202.9948,192.3569,24.942,20.8241,7779c5b1-c3cb-4595-a0cf-8e78085091e3
TCGA-CV-6948,28.2381,1.7877,7.5029,20.3914,1.7676,94.2114,44.4207,0.916,4.7398,1.2299,26.6158,148.8703,3.2316,1.7374,82.5048,36.1291,3.3345,295.3329,4.2144,9.4575,47.4702,1011.9465,53.5332,80.7613,50.1149,14.733,81.5058,4eda7674-c779-437a-9a7d-63952954d0ac
TCGA-CV-7101,32.1763,1.0766,3.5604,32.3209,0.1945,89.6957,13.3406,0.3811,7.2005,0.8063,17.1499,78.1843,2.5532,1.5581,42.8124,37.0764,4.6676,270.8911,3.6079,14.2238,48.5222,1415.4735,66.5575,110.412,60.8962,12.7837,76.01,d5fc6c36-385e-469e-b3e8-9e210be4d44d
TCGA-BA-6868,3.8108,0.4596,2.1151,78.3352,0.1779,207.2113,2.3052,0.6102,1.1434,0.3487,13.0528,9.4424,1.3693,1.1142,51.7102,5.6972,0.8328,33.3358,0.94,2.1724,7.353,109.808,8.4995,7.2345,3.7535,1.5787,51.371,2d21aabe-6a63-4271-945f-5854bf890b41
TCGA-CV-7428,34.5213,1.4182,10.8455,113.6785,4.0161,584.9655,30.1695,1.4576,18.6941,2.1678,85.4565,426.8715,7.6597,4.9542,1777.694,83.8671,12.4926,340.3741,5.403,16.2345,100.1677,2550.3491,117.7872,188.017,58.0255,19.1337,186.5792,616b2f3b-b80f-4935-b9ce-9e7fa0739f6d
TCGA-BA-5152,55.854,0.7896,18.4255,44.3433,0.599,266.756,29.2164,0.6173,10.5956,2.1073,29.9037,58.0044,13.9955,14.3828,387.9907,96.0964,7.4005,182.2036,7.4074,13.1352,60.81,1918.5474,131.5114,193.1702,71.6961,16.5798,82.3178,ef3eab99-6232-4f1c-83aa-cc8dcd425c9a
TCGA-UP-A6WW,49.6845,1.6901,11.2631,104.351,1.0065,81.2295,8.1763,0.5589,5.2457,1.3808,51.6809,71.868,11.71,3.2626,119.9133,36.3014,3.007,444.8287,5.9099,16.8137,87.8147,2186.3132,187.3964,113.0801,241.1268,32.6575,92.8564,bd237b46-b737-4651-9e7a-612e04632a6f
TCGA-CQ-A4C9,11.5908,0.236,1.3939,36.0508,0.1279,71.5021,2.3893,0.4439,10.0863,0.4821,14.5376,4.3759,3.4743,1.5313,12.9189,9.9918,3.917,54.7708,1.6511,4.3318,30.0262,512.5601,35.8762,42.6311,6.6399,5.9097,49.4444,e0ba453e-0cbf-4cf5-9cab-d889f899bb7d
TCGA-CQ-5325,66.0453,2.8128,29.8995,69.7183,3.88,346.8115,29.4095,2.5743,81.5973,2.4025,37.5406,345.2851,6.5478,7.912,1297.1405,150.2323,59.0304,455.3038,11.1693,19.6347,128.2553,4329.6222,189.7591,354.3642,42.931,32.0124,399.04,e4e6b6d0-e0d8-4477-bdcc-57daf4468e92
TCGA-P3-A6T0,4.7666,0.1223,1.0679,99.2748,0.1325,43.6003,14.2576,0.4149,5.8085,0.4662,7.8896,2.2865,1.825,1.0985,1.9124,8.9311,6.7756,28.4197,1.0212,1.7042,12.0802,212.6279,12.4993,11.2345,4.0364,2.5399,39.5101,f3e35797-d314-450d-b3cf-5b000dd1691d
TCGA-CN-4733,79.6607,3.4052,28.0799,111.0722,2.6245,285.4198,21.6437,0.9878,13.9623,3.8949,37.8099,292.7433,17.6594,21.3745,843.8798,78.1441,29.2814,1004.3611,18.4778,33.5674,162.0843,5006.426,222.2142,471.7947,365.1261,40.9293,286.7949,749e19d2-4962-4546-b236-5232fee78446
TCGA-CQ-5332,29.1921,0.4705,1.7897,40.7304,0.2914,125.9389,2.6635,0.4164,3.6935,2.4985,10.5704,7.4125,4.1634,2.8175,14.6399,45.6391,5.5497,398.8731,1.99,10.4212,19.5333,872.4354,44.2933,86.4348,1.8756,7.611,27.3061,7862a1bf-90d3-473c-9cc6-b4e44019ad2d
TCGA-BB-7864,2.5934,0.2218,1.8097,14.6891,0.0481,55.1952,2.4456,0.1374,2.6217,0.1993,8.5925,7.6328,0.7889,0.8854,8.8191,6.4196,1.9629,98.7347,0.736,1.8836,8.64,161.1242,10.0,14.0173,0.4392,1.9309,25.9818,1daf9114-e83d-44e3-9455-02550b75202d
TCGA-CN-6996,84.5139,3.928,31.9278,100.1006,6.25,569.3615,62.9102,2.0341,49.6793,6.4866,64.8099,693.2348,29.0121,26.5264,1560.6649,132.5774,38.9696,508.3581,10.1562,62.6459,159.6415,5051.2692,226.0855,461.9271,85.1658,38.3555,205.9201,8c4a7f36-f25b-449a-87e9-e413a35cbca6
TCGA-CV-7427,59.1807,2.8051,13.293,86.2926,5.5013,463.0001,40.6049,1.6382,79.4764,2.5256,88.0671,1251.1525,11.0012,9.8848,3867.7863,171.2082,34.952,661.273,8.7043,124.6166,186.7655,5857.5128,247.6701,463.667,104.2003,41.5881,198.8912,b78ac464-2435-4d29-b287-61383ee4aecb
TCGA-TN-A7HI,18.4553,2.2392,16.0779,6.7535,4.5427,42.7703,23.4709,1.8802,3.3387,0.3753,27.6129,64.0593,8.205,3.1232,98.1912,31.7837,2.5719,148.8492,7.024,8.0708,65.2214,742.0199,108.4928,48.0106,96.964,15.7155,183.1441,2a569ad0-faee-4431-b9f1-a7cef32d1a3d
TCGA-CR-7376,179.7182,4.2654,33.0099,238.849,11.2462,518.1933,29.8214,2.2505,30.7153,4.7581,72.662,1549.8318,21.834,21.0,1094.7041,340.3679,39.1554,577.7939,19.2823,83.9252,144.7226,6009.7913,292.7685,624.4813,108.3623,53.5503,515.9674,b668d085-9a13-4d78-a973-eba35b289c64
TCGA-CX-7085,67.2562,2.1356,12.3188,83.7163,1.6761,159.0222,14.5122,2.0204,21.4457,3.5948,25.4556,188.6674,8.5362,8.3423,328.6198,102.3119,18.0231,795.3374,6.8644,32.8116,71.6267,2590.5929,116.9015,233.7796,2.4196,18.5323,148.977,46c49b3e-0cf1-4c97-b6aa-205043d0d34b
TCGA-P3-A6SX,2.1413,0.2478,0.887,22.4043,0.0,71.417,25.5663,0.8956,1.0425,0.0675,5.7709,4.7712,1.1653,0.2267,3.1373,1.9454,3.9008,10.6686,0.9004,0.911,4.7757,77.1324,6.9346,5.6776,3.1604,1.2339,10.2707,7a4f5a82-54fb-42b5-ab40-1cefda8dad3e
TCGA-D6-6516,16.4007,1.8439,17.8103,16.9415,1.8809,243.86,31.4587,0.8799,16.195,0.8271,64.3584,88.8215,3.947,4.2401,209.2771,22.1166,13.3461,213.9553,5.0229,7.4149,28.5659,1008.8687,52.4417,56.1789,30.1381,6.4807,122.5733,a0e5df28-f34e-4fc8-8100-ea276c5956e4
TCGA-QK-A6VB,7.8006,0.2143,2.135,22.6256,0.0929,78.7959,1.5321,0.2465,0.7804,0.1926,8.5258,9.0246,0.2891,0.1283,7.8983,2.4025,1.272,30.1478,0.2789,1.2838,26.9176,164.5778,10.9217,12.2218,13.5407,2.8653,4.24,88d9d603-1444-4774-addd-71412a3805bf
TCGA-CN-A6V7,16.8234,0.9468,7.7257,37.2923,2.1414,97.6354,3.6172,0.6558,5.0371,0.5885,32.9037,31.6021,4.9483,2.424,48.0954,22.5903,1.8216,149.7191,3.2009,5.217,13.1422,401.3793,31.4208,43.4715,9.7826,5.446,47.4311,b8061cff-d788-40e9-85ed-7b0dd5c666d1
TCGA-CN-6012,36.4387,2.0849,9.926,29.1282,1.4423,152.3026,17.9235,0.7263,8.3904,0.8336,19.3951,151.1343,6.5569,4.0734,83.4938,42.3115,4.5008,141.1317,5.9753,11.6095,40.0396,1115.4975,67.7443,120.7198,42.5688,12.1166,69.0205,f5f6cba5-feca-4a5f-93a6-78f95fcb7ff8
TCGA-KU-A6H7,44.3966,3.9318,38.7924,64.5801,11.0654,220.2686,65.9678,3.7297,47.9998,1.1181,108.7956,600.356,11.8042,4.9651,2130.0642,81.0889,6.1196,339.4427,12.1847,13.5441,118.1177,2634.1672,126.4167,109.8186,69.3029,35.588,516.0923,5ce6d778-09e1-460e-a3ed-5b20b586d838
TCGA-CR-7377,92.4141,3.008,16.281,151.092,1.5184,446.3397,11.4304,1.3493,15.4161,1.902,31.2751,520.7555,6.8233,6.4774,244.6317,210.2045,14.7211,317.9982,14.1974,41.1137,90.2428,3315.1763,267.4136,392.4659,79.3044,27.8555,251.8263,efbbaf9c-6f7c-4a67-a741-d47133001cd3
TCGA-CV-7415,25.1139,1.686,20.6686,112.159,2.4629,388.679,29.6341,0.4704,41.9932,2.3357,50.4254,805.8501,7.5081,5.341,1093.2556,46.6174,71.3085,392.0064,3.1959,18.4968,81.1312,2383.5301,109.5882,228.9305,84.0701,18.7085,271.3707,cdf82afd-bf8c-4928-ad79-4e4ec703dea5
